X1,X2,X3
BB07_1,1,0
BB07_10,1,0
BB07_103,1,0
BB07_104,1,0
BB07_105,1,0
BB07_106,1,0
BB07_107,0.999,0.001
BB07_11,0.999,0.001
BB07_114,1,0
BB07_117,1,0
BB07_119,1,0
BB07_120,1,0
BB07_121,0.998,0.002
BB07_122,0.858,0.142
BB07_123,0.997,0.003
BB07_128,1,0
BB07_13,1,0
BB07_131,0.985,0.015
BB07_133,1,0
BB07_134,1,0
BB07_137,1,0
BB07_139,1,0
BB07_141,1,0
BB07_142,1,0
BB07_143,0.999,0.001
BB07_144,0.998,0.002
BB07_145,1,0
BB07_146,1,0
BB07_155,1,0
BB07_156,1,0
BB07_161,1,0
BB07_162,1,0
BB07_163,1,0
BB07_165,1,0
BB07_167,0.996,0.004
BB07_168,0.997,0.003
BB07_188,1,0
BB07_20,1,0
BB07_207,0.93,0.07
BB07_208,0.999,0.001
BB07_215,0.997,0.003
BB07_217,1,0
BB07_241,0.999,0.001
BB07_242,0.999,0.001
BB07_244,1,0
BB07_245,1,0
BB07_247,0.999,0.001
BB07_25,1,0
BB07_251,0.976,0.024
BB07_253,0.999,0.001
BB07_255,1,0
BB07_265,0.998,0.002
BB07_267,1,0
BB07_274,0.999,0.001
BB07_283,0.999,0.001
BB07_285,1,0
BB07_29,1,0
BB07_291,1,0
BB07_298,1,0
BB07_300,0.997,0.003
BB07_35,0.999,0.001
BB07_40,0.994,0.006
BB07_48,1,0
BB07_50,0.998,0.002
BB07_52,1,0
BB07_54,1,0
BB07_56,0.999,0.001
BB07_58,0.999,0.001
BB07_60,0.997,0.003
BB07_62,0.997,0.003
BB07_63,1,0
BB07_64,0.996,0.004
BB07_65,1,0
BB07_70,1,0
BB07_71,0.996,0.004
BB07_77,1,0
BB07_87,1,0
BB07_89,0.999,0.001
BB07_90,1,0
BB07_94,1,0
BB07_98,0.965,0.035
BB07_99,0.997,0.003
BSA08_10,0.999,0.001
BSA08_100,1,0
BSA08_104,1,0
BSA08_115,1,0
BSA08_126,0.98,0.02
BSA08_13,0.998,0.002
BSA08_15,1,0
BSA08_16,1,0
BSA08_162,1,0
BSA08_19,0.669,0.331
BSA08_21,0.983,0.017
BSA08_27,0.991,0.009
BSA08_29,1,0
BSA08_35,0.234,0.766
BSA08_38,0.999,0.001
BSA08_42,1,0
BSA08_50,1,0
BSA08_53,1,0
BSA08_58,0.996,0.004
BSA08_63,1,0
BSA08_69,1,0
BSA08_72,1,0
BSA08_74,1,0
BSA08_82,1,0
BSA08_84,1,0
BSA08_86,1,0
BSA08_87,1,0
G_1083,0.768,0.232
G_1112,1,0
G_1119,0.999,0.001
G_174,1,0
G_336,0.999,0.001
G_348,1,0
G_355,0.998,0.002
G_356,0.997,0.003
G_459,1,0
PA09_1,0.998,0.002
PA09_14,0.999,0.001
PA09_3,0.995,0.005
GAV1_1,0,1
GAV1_10,0,1
GAV1_12,0,1
GAV1_4,0,1
GAV1_5,0.001,0.999
GAV1_6,0,1
GAV1_7,0.005,0.995
GAV2_1,0.001,0.999
GAV2_16,0,1
GAV2_5,0,1
GAV2_7,0.005,0.995
GAV2_8,0,1
GAV3_1,0,1
GAV3_12,0,1
GAV3_14,0.005,0.995
GAV3_16,0,1
GAV3_18,0,1
GAV3_6,0,1
LAP08_107,0,1
LAP08_113,0,1
LAP08_115,0,1
LAP08_117,0.006,0.994
LAP08_121,0,1
LAP08_122,0,1
LAP08_128,0,1
LAP09_100,0,1
LAP09_19,0,1
LAP09_190,0,1
LAP09_198,0,1
LAP09_200,0,1
LAP09_207,0,1
LAP09_208,0.001,0.999
LAP09_217,0.001,0.999
LAP09_227,0,1
LAP09_234,0.006,0.994
LAP09_237,0,1
LAP09_239,0.001,0.999
LAP09_25,0,1
LAP09_30,0,1
LAP09_35,0,1
LAP09_62,0,1
LAP09_64,0,1
LAP09_71,0,1
LAP09_73,0,1
LAP09_85,0,1
LAP09_91,0,1
LAP09_98,0,1
PG1_1,0,1
PG1_18,0,1
PG1_21,0,1
PG1_4,0,1
PG2_15,0,1
PG2_4,0,1
PG3_10,0.007,0.993
PG3_19,0,1
PG3_24,0,1
PG3_BL3,0,1
Pal09_100,0,1
Pal09_230,0,1
Pal09_269,0,1
Pal09_294,0,1
Pal09_312,0.002,0.998
Pal09_604,0,1
Pal09_70,0,1
Pal13orft010,0,1
Pal13orft028,0,1
Pal13orft043,0,1
Pal13orft047,0,1
Pal13ort1044,0.002,0.998
Pal13ort2007,0,1
Pal13ort2038,0,1
Pal13wccf042,0.009,0.991
Pal13wccf049,0.048,0.952
Pal13wccf060,0,1
Pal13wccf088,0.288,0.712
Pal13wccf136,0.81,0.19
Pal09_359,0.211,0.789
PAL09_444,0.181,0.819
Pal09_63,0,1
Pal13_Nikko_05,0,1
Pal13_Nikko_15,0,1
Pal13_Nikko_18,0,1
Pal13_Nikko_25,0,1
Pal13_Nikko_33,0,1
Pal13_Nikko_42,0,1
Pal13_Nikko_51,0,1
Pal13_Nikko_63,0,1
Pal13_WCCF_06,0.209,0.791
Pal13_WCCF_68,0.312,0.688